ylabel,AWWL
OP1,86.14,58.62,-1,-1
OP2_1,68.05,50.57,86.71,59.14
OP2_2,64.52,80.57,71.52,74.19
OP3_1,78.38,59.52,-1,-1
OP3_2,51.05,77.48,52.71,52.43
